t,arrivals,starts,departures,queue_len,busy_servers
478,5,1,1,42,2
479,0,0,0,42,2
480,0,2,2,40,2
481,0,0,0,40,2
482,0,0,0,40,2
483,0,0,0,40,2
484,0,2,2,38,2
485,0,0,0,38,2
486,0,0,0,38,2
487,0,1,1,37,2
488,0,1,1,36,2
489,0,0,0,36,2
490,0,1,1,35,2
491,0,0,0,35,2
492,0,1,1,34,2
493,0,0,0,34,2
494,0,2,2,32,2
495,0,0,0,32,2
496,0,0,0,32,2
497,0,2,2,30,2
498,0,0,0,30,2
499,0,0,0,30,2
500,0,0,0,30,2
501,0,1,1,29,2
502,0,1,1,28,2
503,0,0,0,28,2
504,0,1,1,27,2
505,0,0,0,27,2
506,0,1,1,26,2
507,0,0,0,26,2
508,0,1,1,25,2
509,0,0,0,25,2
510,0,1,1,24,2
511,0,1,1,23,2
512,0,1,1,22,2
513,0,1,1,21,2
514,0,1,1,20,2
515,0,0,0,20,2
516,0,1,1,19,2
517,0,0,0,19,2
518,0,2,2,17,2
519,0,0,0,17,2
520,0,0,0,17,2
521,0,2,2,15,2
522,0,0,0,15,2
523,0,0,0,15,2
524,0,0,0,15,2
525,0,2,2,13,2
526,0,0,0,13,2
527,0,0,0,13,2
528,0,2,2,11,2
529,0,0,0,11,2
530,0,1,1,10,2
531,0,0,0,10,2
532,0,1,1,9,2
533,0,0,0,9,2
534,0,1,1,8,2
535,0,1,1,7,2
536,0,0,0,7,2
537,0,1,1,6,2
538,0,1,1,5,2
539,0,0,0,5,2
540,0,1,1,4,2
541,0,1,1,3,2
542,0,0,0,3,2
543,0,2,2,1,2
544,0,0,0,1,2
545,0,0,0,1,2
546,0,1,1,0,2
547,0,0,1,0,1
548,0,0,0,0,1
549,0,0,1,0,0
